longitude	latitude
102.01	32.02
104.06	30.92
102.15	27.75
103.44	29.76
103.83	30.31
104.18	31.16
103.64	30.36
104.02	28.89
104.6	28.89
103.85	30.97
103.9	31.05
103.9	30.91
103.46	30.97
103.44	31.07
103.85	31.07
103.45	30.85
103.85	30.93
103.5	30.97
103.5	30.93
103.92	30.97
103.49	30.73
103.49	31.06
103.49	30.97
103.53	31.16
104.1	31.06
103.49	30.93
103.68	31.08
103.7	31.19
103.72	30.75
104.05	31.06
103.97	31.08
104.1	30.97
103.72	31.06
104.04	31.16
103.97	31.06
104.13	30.97
103.83	31.05
103.92	31.68
104.1	31.05
104.08	31.12
103.96	31.12
103.92	31.12
104.08	31.05
103.96	30.97
103.91	31.05
103.93	30.91
104.05	30.99
103.42	31.3
103.9	31.64
103.53	30.99
103.55	30.63
104.17	30.93
104.17	30.96
104.12	30.93
103.69	30.54
103.67	30.54
103.67	30.55
103.78	30.54
103.73	30.55
103.72	30.43
103.67	30.56
103.76	30.55
103.73	30.56
103.75	30.56
104.01	30.99
103.95	30.87
103.91	30.97
103.88	30.97
104.01	30.95
104	30.93
103.91	30.99
103.99	30.94
104	30.94
103.69	30.81
103.53	30.39
103.68	30.94
103.09	30.34
103.55	31.03
103.07	30.33
103.29	29.82
103.23	29.95
103.14	29.82
103.29	30.16
103.56	30.9
103.98	30.93
104.06	30.92
104.02	30.93
103.85	30.94
103.92	30.94
104.08	30.94
104.02	30.94
104.08	31.03
103.92	30.96
104.35	31.27
103.95	30.93
104.02	31.27
103.77	30.92
103.77	31.32
103.91	30.93
103.91	31.27
104.23	31.32
103.77	30.41
104.05	30.92
103.77	30.37
104.02	30.98
103.91	31.32
104.08	30.92
103.96	30.98
104.08	31.32
104.37	31.19
104.37	31.27
103.96	30.92
103.9	30.98
103.14	30.28
103.95	30.98
103.31	30.23
103.31	30.25
103.58	30.55
103.27	30.23
103.7	30.29
103.27	30.34
103.7	30.34
103.31	30.43
103.62	30.4
103.27	30.24
103.7	30.35
103.62	30.43
103.27	29.93
103.65	30.63
103.53	30.53
103.27	30.29
103.61	30.34
103.27	30.43
103.25	30.43
103.27	30.03
103.14	30.49
103.61	30.43
103.31	30.35
103.25	30.29
103.27	30.01
103.27	30.25
103.31	30.03
103.25	30.09
103.14	30.22
103.27	30.49
103.72	30.25
103.14	30.45
103.72	30.35
103.25	29.92
103.31	30.24
103.27	29.76
103.56	30.45
103.25	30.34
103.27	30.45
103.31	30.45
103.56	30.35
103.62	30.49
103.64	30.62
103.14	30.35
103.27	30.22
103.31	30.09
103.42	29.87
103.59	30.34
103.27	30.35
103.27	30.73
103.55	30.82
103.14	30.29
103.31	30.73
103.42	30.24
103.14	29.93
103.27	30.09
103.44	30.77
103.31	29.77
103.76	30.33
103.59	29.63
103.31	29.63
103.33	30.31
103.21	29.72
103.46	29.85
104.14	31.12
103.25	29.71
103.19	29.61
103.54	30.48
103.78	30.31
103.12	30.31
103.41	30.44
103.68	30.63
103.18	30.04
103.55	30.61
103.2	30.35
103.5	30.34
103.44	30.31
103.51	30.34
103.08	30.14
103.03	30.17
103.44	30.34
103.22	30.17
103.18	30.6
103.12	29.91
103.38	30.16
103.18	30.14
103.36	30.14
103.36	30.23
103.22	30.18
103.48	30.6
103.36	30.01
103.41	30.23
103.32	30.22
103.28	30.53
103.69	30.76
103.27	30.33
103.4	30.41
103.68	30.93
103.47	30.41
103.46	30.41
103.45	30.41
103.45	30.42
104.57	29.21
104.71	29.01
103.93	30.89
103.91	30.89
103.88	30.81
103.78	30.94
103.78	30.91
103.88	30.91
103.77	30.88
103.83	30.93
103.75	30.86
